COMPANY_FKEY,bank_event
0000745774,2006-11-09
0000748210,2001-12-04
0000750199,2009-05-01
0000750274,2012-01-18
0000750339,2010-07-28
0000750813,2003-07-21
0000750901,2006-08-22
0000751976,2008-06-08
0000752208,2011-04-21
0000753048,2015-12-02
0000753772,2018-05-08
0000753899,2009-03-22
0000755926,1999-12-14
0000756680,2001-10-23
0000757011,2001-06-25
0000758604,2004-03-31
0000758722,2000-09-15
0000758743,2017-02-10
0000759153,2009-05-30
0000760497,2005-02-28
0000761034,2001-05-10
0000761682,2001-12-20
0000763098,2001-03-29
0000764241,2011-07-30
0000764763,2000-09-01
0000764794,2006-02-21
0000764858,2009-08-24
0000764897,2013-01-11
0000764960,2001-09-24
0000765414,2003-02-20
0000766004,2012-07-05
0000766738,2000-03-10
0000768119,2004-12-14
0000768957,2001-02-15
0000769591,2007-11-19
0000769852,2003-02-26
0000770471,2009-02-08
0000770944,2007-07-31
0000771176,2004-09-29
0000771298,1999-12-29
0000771729,2011-02-15
0000771934,2001-05-01
0000772349,2005-01-21
0000773135,2000-08-24
0000773318,2005-02-28
0000773326,2004-06-18
0000773603,2006-11-17
0000773723,2003-04-01
0000773724,2003-02-14
0000773937,2008-10-02
0000774492,2009-03-18
0000774937,2006-04-09
0000775714,1999-07-19
0000776008,2016-09-27
0000777516,2011-09-23
0000778161,2001-01-18
0000778164,2009-05-17
0000778423,2005-08-31
0000778438,2016-05-11
0000779033,2001-11-08
0000779226,2005-10-14
0000779334,2002-06-03
0000779733,2002-09-25
0000780118,2001-07-24
0000780882,2001-04-30
0000781889,2004-05-05
0000782995,2001-08-15
0000783209,2004-05-18
0000783211,2008-10-31
0000783738,2009-02-24
0000784932,2007-12-21
0000784977,2003-06-27
0000785080,2002-06-25
0000785814,2000-02-02
0000785962,2000-01-04
0000785968,2015-10-01
0000786343,2000-11-14
0000786765,2009-06-01
0000788951,1992-05-06
0000788983,2008-08-27
0000789878,2008-05-30
0000789879,2004-09-01
0000790360,2003-08-04
0000790414,2009-01-14
0000790526,2003-09-04
0000790706,2001-06-04
0000791115,2007-09-19
0000791219,2001-04-02
0000792341,2006-08-25
0000792570,2001-05-18
0000795662,2001-07-16
0000795665,2000-11-20
0000796369,2009-05-11
0000796486,2002-06-25
0000796735,2008-03-30
0000796764,2016-06-14
0000797167,2006-08-31
0000797315,2001-05-31
0000797329,2008-04-16
0000797448,2008-04-25
0000797496,2005-07-05
0000797542,2002-11-06
0000797543,1999-09-27
0000797556,2000-05-03
0000798122,2006-10-26
0000798186,2001-05-21
0000798539,2002-12-02
0000798949,2020-05-22
0000798952,2003-02-27
0000799088,2000-08-08
0000799097,2007-11-26
0000799119,2004-10-07
0000799197,2001-04-06
0000799268,2004-03-09
0000800055,2001-12-18
0000800181,2002-11-27
0000800193,2001-07-02
0000800401,2004-10-25
0000801351,2001-06-11
0000801448,2001-01-22
0000801550,2003-08-25
0000801558,2003-12-09
0000802301,2006-05-08
0000802481,2008-12-01
0000804154,2014-12-05
0000804331,2006-12-13
0000804888,2004-09-01
0000805012,2010-07-29
0000805020,2009-10-16
0000805305,2015-09-09
0000805907,2001-05-21
0000805956,2000-02-04
0000806085,2008-09-15
0000806514,2009-07-02
0000806624,2006-10-13
0000806817,2010-07-18
0000807144,2001-10-02
0000807877,2003-01-22
0000808207,2000-05-03
0000808220,2001-05-17
0000808713,2000-10-04
0000810208,2012-12-21
0000810332,2010-01-05
0000810365,2000-06-26
0000810536,2010-01-06
0000810932,2004-06-30
0000811014,2001-12-06
0000811510,2008-01-11
0000811596,2002-02-12
0000811696,2008-02-19
0000811828,2008-08-10
0000811863,1996-06-04
0000812446,2004-02-09
0000812708,2008-02-22
0000812906,2007-03-21
0000812927,2003-09-02
0000813347,2001-08-24
0000813775,2004-01-13
0000813781,2002-04-15
0000813856,2002-05-06
0000814068,2009-11-15
0000814249,2000-04-13
0000814457,2006-12-20
0000814580,2006-12-29
0000815093,2002-06-17
0000815508,2009-07-16
0000817129,2003-09-26
0000817644,2002-03-29
0000817785,2008-10-13
0000817979,2009-10-08
0000818008,2010-07-16
0000818074,2007-04-25
0000818467,2000-05-02
0000818682,2008-11-07
0000818808,2003-04-04
0000818815,2000-06-16
0000819255,2002-12-12
0000819479,2004-03-29
0000819551,2009-03-02
0000819690,2003-11-20
0000819818,2003-01-22
0000819975,2012-01-05
0000820408,2006-08-23
0000821407,2010-11-01
0000821483,2011-12-16
0000821511,1999-07-14
0000821536,2011-05-16
0000822076,2003-10-20
0000822665,2010-02-25
0000823927,2001-11-27
0000824109,2002-04-08
0000824174,2002-03-22
0000825692,2009-05-31
0000826253,2005-06-24
0000826743,2000-11-01
0000826773,2001-07-30
0000827809,2019-05-20
0000828529,2002-05-03
0000828956,2004-01-22
0000829218,2002-02-27
0000829499,2004-09-22
0000829549,2002-10-10
0000829676,2003-03-04
0000829764,2001-07-11
0000830141,2001-07-31
0000830741,2013-09-23
0000830821,2002-05-16
0000831002,2000-12-08
0000831115,2005-06-15
0000831246,2012-06-04
0000831327,2001-01-16
0000831489,2001-05-25
0000831669,2002-04-16
0000832412,2001-05-25
0000832820,2000-01-18
0000832922,2001-03-26
0000833203,2011-10-07
0000833376,2000-08-23
0000834408,2008-10-27
0000835582,2001-08-01
0000835768,2005-10-13
0000837038,2007-09-19
0000837166,2002-08-02
0000837173,2015-07-15
0000837339,2001-03-29
0000837342,2011-05-01
0000837472,2003-03-12
0000837490,2001-10-30
0000837852,2003-01-02
0000839437,2002-02-27
0000839441,2012-12-17
0000839621,2006-12-11
0000840216,2009-10-27
0000840256,2009-07-21
0000840264,2012-08-09
0000840319,2006-05-23
0000840889,2015-03-11
0000841123,2010-12-28
0000841533,1997-07-29
0000841555,2002-03-08
0000841866,2007-12-27
0000842009,2001-11-21
0000842010,2008-05-20
0000842162,2009-07-07
0000842635,2009-01-06
0000842807,2001-04-18
0000843081,2010-11-15
0000843494,2008-08-05
0000843650,2001-04-17
0000843964,2006-04-28
0000844055,2004-01-26
0000844143,2020-05-18
0000844985,2015-08-28
0000845874,2003-06-10
0000845879,2008-02-14
0000846469,2003-01-24
0000846538,2003-04-09
0000846771,2002-09-23
0000846815,2005-05-17
0000846899,2000-10-03
0000847322,1998-10-05
0000847468,2001-01-11
0000847555,2009-02-11
0000849101,2004-02-04
0000849862,2002-08-14
0000849979,2003-05-19
0000850316,2001-11-07
0000850476,2009-02-18
0000850519,2003-03-21
0000850660,2001-11-19
0000851199,2007-12-21
0000851292,2000-05-23
0000851697,1997-09-22
0000851726,2015-08-26
0000852570,2013-08-05
0000852766,2013-03-01
0000852952,2003-06-01
0000853083,2004-09-27
0000853271,2001-12-20
0000853532,2001-12-28
0000853695,2012-03-25
0000853927,2010-11-17
0000854087,1996-01-03
0000854171,2009-01-30
0000854709,2009-04-19
0000854858,2007-12-27
0000854862,1999-10-19
0000854877,2003-04-09
0000855109,2006-12-14
0000855372,2009-11-24
0000855575,2000-04-06
0000855581,2006-03-29
0000855667,2010-02-03
0000855684,2004-11-02
0000856164,2001-06-06
0000856200,2000-06-09
0000856710,2008-07-15
0000856984,2002-09-19
0000857171,2005-07-18
0000857565,2002-01-30
0000857847,1999-11-09
0000858155,2011-05-20
0000858395,2015-01-15
0000858558,2009-08-24
0000859475,2012-01-04
0000859636,2001-01-17
0000859735,2005-10-14
0000859747,2008-06-02
0000859916,2008-06-23
0000860131,2004-04-19
0000860192,1999-02-01
0000860235,2003-09-26
0000860749,2003-04-22
0000861955,2009-09-15
0000862026,2007-12-17
0000863456,2015-01-15
0000863893,2005-07-01
0000864902,2001-03-30
0000865532,2001-04-04
0000865570,2012-12-19
0000865941,2019-12-08
0000866491,2001-08-06
0000866492,2005-10-03
0000866535,2009-01-10
0000866671,2005-05-24
0000866722,1996-12-06
0000866734,2010-04-10
0000866751,2001-05-25
0000866970,2002-08-21
0000867443,2000-05-15
0000867572,2000-07-20
0000867687,2007-10-15
0000868016,2004-02-04
0000868075,2004-03-23
0000868076,2000-08-04
0000868263,2000-04-05
0000868512,2009-03-31
0000868725,2017-12-19
0000868797,2001-04-18
0000868984,2008-06-23
0000869295,2009-01-12
0000869486,2001-08-07
0000869487,2014-03-11
0000869494,2003-05-14
0000869495,2003-02-19
0000869498,2007-06-14
0000870213,2001-11-15
0000870227,2002-04-16
0000870228,2011-01-28
0000870398,2013-04-26
0000871696,2000-07-24
0000872248,2018-11-06
0000872548,2003-01-03
0000872867,2002-02-24
